Gene,log2FoldChange,pvalue,padj
Baiap2l1,-0.00715,0.92,0.982
Garnl3,-0.165,0.386,0.779
Pi4kb,-0.0497,0.407,0.791
Zcchc2,-0.0569,0.39,0.781
Bpgm,-0.262,0.0363,0.319
Zfhx3,0.133,0.144,0.557
Rnf146,0.0334,0.656,0.909
Nipal2,-0.218,0.383,0.777
Mrps34,0.144,0.147,0.561
Shfl,-0.0709,0.532,0.859
Man2a2,0.137,0.0042,0.111
Ctu1,0.165,0.241,0.67
Fam117a,-0.233,0.155,0.571
Irs2,0.316,0.318,0.73
Zfp653,0.117,0.275,0.698
Rpl12,-0.0874,0.0828,0.452
Pogz,0.178,0.00207,0.0764
Ccdc68,-0.354,0.0528,0.375
Kat7,0.078,0.0734,0.429
Plcl2,0.201,0.0283,0.287
Dido1,0.0917,0.162,0.582
3930402G23Rik,-2.12,0.12,0.521
Rccd1,0.0488,0.671,0.913
Tcfl5,-0.102,0.926,0.983
Sccpdh,0.1,0.0161,0.221
Prc1,-0.886,0.00643,0.138
Cnst,0.0869,0.0326,0.305
Supt3,-0.00206,0.979,0.995
Edc3,0.0247,0.777,0.946
Ube2l3,-0.0105,0.797,0.952
Pdk2,0.146,0.00503,0.121
Lmtk2,0.0155,0.758,0.939
Rabggtb,0.115,0.0604,0.395
Ppp1r9b,-0.014,0.851,0.964
Bloc1s5,-0.102,0.108,0.502
Tspyl5,0.234,0.0455,0.351
Cfap157,-0.472,0.537,0.861
Cables2,-0.0962,0.239,0.669
Txndc5,-0.132,0.0803,0.445
H1f9,0.365,0.0631,0.402
Ube3c,0.0659,0.123,0.524
Rps21,-0.094,0.219,0.648
Bmp6,-0.214,0.016,0.221
Tlr4,-0.174,0.169,0.592
Cpq,-0.135,0.0179,0.232
Timm8b,0.0286,0.712,0.925
Mtg1,-0.0586,0.419,0.798
Ttc16,-0.158,0.658,0.91
Arhgap18,-0.117,0.522,0.854
Tasp1,-0.0622,0.544,0.864
St6galnac5,-0.236,0.675,0.914
Adrm1,0.122,0.00466,0.116
Arpin,0.0618,0.324,0.735
Usp6nl,-0.0925,0.301,0.718
Pigk,0.0335,0.491,0.838
Foxred1,0.0771,0.186,0.612
Osbpl2,0.0589,0.121,0.522
Eme1,-0.648,0.405,0.79
Myo16,-1.46,0.267,0.692
Ak5,-0.385,0.665,0.911
Anpep,0.0384,0.709,0.924
Echdc3,-0.157,0.00854,0.161
Atpsckmt,0.105,0.166,0.589
Psmd7,0.0513,0.321,0.733
Zzz3,0.103,0.0215,0.254
Mtg2,0.0727,0.23,0.66
Zfp503,-0.178,0.308,0.723
Chad,0.236,0.363,0.765
Ss18l1,0.234,0.0338,0.31
Rreb1,0.161,0.0356,0.318
L3mbtl3,0.0115,0.905,0.978
Rsad1,0.0433,0.544,0.864
Wdr93,-0.756,0.306,0.722
Marchf6,0.0735,0.106,0.499
Nexn,0.0466,0.626,0.9
Atp6v1g1,0.036,0.502,0.842
Lsm14b,0.0351,0.471,0.828
F13a1,-0.163,0.12,0.521
Mycbpap,-0.553,0.0521,0.373
Nrn1,-0.112,0.538,0.862
Itga9,0.117,0.0707,0.424
Adgrg6,-0.301,0.0979,0.483
Taf4,0.119,0.139,0.551
Prune2,-0.109,0.334,0.744
Cdc123,0.000252,0.996,0.999
Zc3hc1,0.111,0.163,0.583
Gipc2,0.365,0.0831,0.452
Whrn,0.198,0.0308,0.298
Camk1d,-0.274,0.164,0.584
Sart1,0.0259,0.677,0.915
Runx2,-0.304,0.249,0.676
Shd,0.112,0.688,0.918
Stim2,-0.00261,0.967,0.993
Eeig1,0.136,0.321,0.733
Akna,-0.317,0.145,0.558
Ube2h,-0.0136,0.829,0.96
Cmc1,-0.109,0.238,0.668
Naif1,-0.0478,0.634,0.903
Akap7,-0.0682,0.251,0.678
Adgrl4,-0.185,0.00888,0.165
Dap,-0.329,0.000123,0.0142
Polg,0.0553,0.294,0.714
Tbc1d19,-0.0933,0.178,0.603
AW209491,0.0343,0.658,0.91
Nubp2,0.000156,0.999,1
Fanci,-0.713,0.112,0.507
Rbpj,-0.0193,0.763,0.942
Nlrc4,-0.695,0.0287,0.288
Bbln,-0.0295,0.707,0.924
Orm1,-2.08,0.0316,0.301
Adk,0.141,0.0408,0.336
Ptchd3,-0.605,0.128,0.533
Zdhhc1,0.042,0.469,0.827
Tbc1d25,0.0624,0.583,0.883
Abhd2,0.316,0.000294,0.0251
Ciz1,0.0601,0.27,0.694
Daglb,-0.0135,0.848,0.964
Metrnl,0.0984,0.342,0.749
Rpl39l,-0.708,0.447,0.817
Gpatch2,-0.0342,0.682,0.916
Il18,-0.491,0.256,0.685
Srrm2,0.163,0.012,0.191
Arid4b,-0.0495,0.533,0.859
Ppp1r10,0.00893,0.953,0.989
Rpl22l1,-0.0634,0.681,0.916
Tbcd,-0.0283,0.689,0.918
Suv39h1,-0.0484,0.605,0.895
Stx11,-0.186,0.293,0.714
Tbce,-0.0572,0.367,0.768
Sec24d,0.0316,0.521,0.853
Isg20,-0.489,0.0169,0.227
Zfp750,-1.56,0.114,0.51
Tgfb2,0.0981,0.466,0.825
B3galnt2,0.14,0.0639,0.405
Ints15,0.104,0.176,0.6
Lyplal1,-0.812,0.00766,0.151
Lgi2,-0.0849,0.597,0.891
Fn3krp,-0.126,0.129,0.534
Pomt1,0.128,0.125,0.527
Vstm2b,-0.273,0.665,0.911
Prrc2b,0.164,0.00293,0.0941
Npepl1,0.0307,0.489,0.837
Gimap3,-1.29,0.0536,0.377
Megf9,-0.227,0.00987,0.174
Foxk2,0.0815,0.15,0.563
Pcsk1n,-0.531,0.64,0.904
Azi2,-0.0209,0.604,0.895
Fndc3b,-0.141,0.0665,0.412
Cybc1,-0.105,0.324,0.735
Cdk5rap2,0.0496,0.576,0.879
Tnfsf10,-0.11,0.296,0.715
Hexdc,0.0612,0.492,0.838
Ndst2,-0.12,0.1,0.487
Rftn1,0.0236,0.747,0.936
Rab3gap2,0.0968,0.0924,0.471
Uts2r,0.589,0.0603,0.395
Igfbp2,-0.246,0.69,0.919
Rnf122,-0.0397,0.701,0.923
Tsga10ip,-1.45,0.265,0.69
Mettl22,-0.00067,0.992,0.997
Atp6v0e2,-0.0502,0.527,0.856
C130074G19Rik,-0.0474,0.633,0.903
Smarcal1,0.0812,0.2,0.629
Exosc2,0.044,0.642,0.905
Fut11,0.000613,0.993,0.998
Picalm,-0.0603,0.506,0.844
Sec24c,0.0853,0.00989,0.174
Synpo2l,0.126,0.164,0.584
Hlx,-0.21,0.304,0.72
Wdr45,0.0379,0.597,0.891
Dusp10,0.00238,0.987,0.996
Cdh6,0.584,0.0214,0.254
Mreg,0.0514,0.541,0.863
Neil3,-0.582,0.164,0.584
Prss23,-0.0935,0.445,0.815
Prdm16,0.204,0.0016,0.0652
Heatr5b,-0.105,0.246,0.673
Alg1,-0.122,0.0676,0.415
Tmem135,-0.0367,0.512,0.847
Mtmr7,-0.429,0.123,0.525
Prpf18,-0.00389,0.925,0.983
Dcxr,-0.27,0.0304,0.297
Snx22,-0.0286,0.881,0.971
Morc3,0.0576,0.306,0.722
Ppl,-0.178,0.271,0.695
Mtmr12,-0.148,0.0819,0.449
Tcta,-0.0531,0.328,0.738
Col10a1,-0.248,0.923,0.982
Slc9a8,0.126,0.00799,0.156
Zdhhc2,-0.298,0.106,0.498
Ubn1,0.0301,0.55,0.868
Wfs1,0.124,0.11,0.505
Prrx2,-0.369,0.335,0.744
Tnrc18,0.209,0.0264,0.278
Micu3,0.00901,0.92,0.982
Nt5dc1,0.0709,0.441,0.812
Nrtn,-0.0922,0.27,0.694
Asb6,0.0393,0.614,0.897
Tspyl4,-0.0871,0.184,0.61
Cntn5,-0.629,0.00016,0.0172
Cdnf,0.0219,0.777,0.946
Dse,-0.113,0.374,0.772
Znfx1,0.0366,0.543,0.864
Nup133,0.107,0.0863,0.459
Uhrf1bp1,0.338,0.0000244,0.00493
Ptpa,0.0134,0.801,0.952
Cdsn,-0.497,0.171,0.594
Cyp7b1,-0.515,0.0878,0.46
Foxp3,-0.443,0.535,0.86
Cep104,0.00627,0.909,0.979
Atp8b1,0.00193,0.988,0.996
Zup1,-0.207,0.0846,0.455
Mmd2,-3.98,0.00184,0.0707
Stau1,0.074,0.0309,0.299
Ncam1,0.162,0.349,0.755
Flicr,-0.237,0.728,0.93
Ajap1,-0.0868,0.868,0.968
Ppp1r3f,-0.0831,0.646,0.907
2210406O10Rik,0.222,0.662,0.911
Ubald1,0.192,0.000296,0.0251
Nphp4,-0.132,0.578,0.88
Ccser1,0.322,0.185,0.611
Grin3a,-0.0301,0.94,0.986
Myo9a,0.0649,0.389,0.781
Fam149b,0.0251,0.67,0.912
Rcan2,0.0107,0.872,0.969
Rbms3,-0.128,0.146,0.56
Pgap4,0.0915,0.238,0.667
Stub1,0.094,0.0569,0.387
Mocos,-0.189,0.172,0.595
Trmt9b,-0.0264,0.895,0.975
Prex1,-0.193,0.274,0.697
Ap5z1,0.0679,0.388,0.781
Strip2,0.13,0.0801,0.445
Hnrnpu,0.0445,0.336,0.744
Lonrf1,0.161,0.1,0.487
Zfp189,-0.212,0.119,0.519
Coro7,0.0485,0.624,0.899
Kcne1,0.105,0.577,0.879
Mrpl12,0.0813,0.248,0.675
Vasn,0.159,0.141,0.553
Kyat1,0.159,0.0117,0.187
Cpeb3,0.239,0.0144,0.21
Rxrb,0.0618,0.148,0.562
Spout1,0.0507,0.62,0.898
Dusp26,0.126,0.777,0.946
Icmt,0.0348,0.354,0.759
Oxld1,-0.0652,0.389,0.781
Zmynd8,0.0426,0.4,0.787
Tbc1d13,-0.0479,0.426,0.804
Mrps6,0.0276,0.699,0.922
Lap3,-0.0892,0.165,0.586
Sdk1,-0.299,0.0925,0.471
Gm5422,-0.587,0.306,0.722
Zer1,0.0761,0.105,0.497
Tspan10,-1.52,0.151,0.565
Msantd3,0.1,0.313,0.725
Ncoa7,-0.233,0.0964,0.48
Batf2,0.164,0.508,0.845
Usp53,0.00884,0.935,0.984
Nploc4,0.119,0.00359,0.104
Lmbrd2,-0.0251,0.773,0.945
Ldb2,-0.115,0.283,0.705
Plekhg5,-0.0186,0.798,0.952
Dync2i2,0.0599,0.554,0.87
Dock3,-0.679,0.0329,0.306
Trp53rka,-0.0183,0.85,0.964
Fnbp1l,-0.0639,0.356,0.76
Prkrip1,0.107,0.211,0.64
Slx4,0.0342,0.703,0.923
Alg2,0.025,0.794,0.951
Bahcc1,-0.0331,0.828,0.96
Htatip2,-0.251,0.000637,0.0377
Orai2,-0.282,0.272,0.696
Exo1,-1.02,0.0597,0.394
Fbxl5,-0.013,0.79,0.949
Alkbh4,-0.0947,0.452,0.819
Dnttip2,-0.0243,0.663,0.911
Thap3,0.109,0.268,0.693
Il22ra2,-4.59,0.0424,0.342
Dnajc28,-0.054,0.395,0.784
Cc2d2a,0.136,0.107,0.5
Dnajc11,0.0692,0.152,0.567
Ypel5,-0.112,0.11,0.505
Polr2j,0.0145,0.798,0.952
Galnt12,-0.447,0.308,0.723
Cep131,-0.0351,0.745,0.936
Cpeb2,-0.000697,0.994,0.998
Kmo,-0.879,0.0699,0.421
Cercam,0.113,0.456,0.821
Zfp597,-0.0235,0.768,0.944
Zfand1,0.0138,0.809,0.954
2600006K01Rik,0.0158,0.978,0.995
Cplane1,0.0132,0.864,0.967
Ncoa5,0.0703,0.259,0.687
Gabbr2,0.0563,0.937,0.985
Zc3h10,0.122,0.188,0.614
Tbc1d2,-0.0192,0.93,0.984
Xkr5,-0.584,0.548,0.867
Myl6b,0.0806,0.649,0.908
Trub2,-0.0632,0.309,0.724
Wdr70,-0.00837,0.9,0.977
Arhgap29,0.0839,0.254,0.682
Zfp335,0.062,0.378,0.775
Nhsl1,0.305,0.0171,0.228
Epg5,-0.0258,0.727,0.93
Zfp800,-0.25,0.0231,0.263
Mcph1,-0.0739,0.488,0.836
Rapgef1,0.071,0.303,0.719
Pcif1,0.0257,0.668,0.911
Endov,0.00634,0.943,0.986
Rere,-0.0361,0.437,0.811
Trim14,-0.247,0.212,0.641
Slc44a3,-1.13,0.0785,0.441
Neurl2,0.106,0.0882,0.461
Heca,0.0487,0.368,0.768
Lrrc17,-0.118,0.357,0.761
Tmem120a,-0.177,0.154,0.571
Alg14,-0.0928,0.276,0.698
Txlnb,0.0772,0.234,0.664
Fgl2,-0.142,0.107,0.5
Armh3,0.146,0.0287,0.288
Eva1c,-0.0492,0.876,0.969
Slc26a11,0.0121,0.908,0.979
Cited2,-0.148,0.235,0.664
Spsb1,0.204,0.0756,0.435
Pak5,-0.546,0.46,0.823
Coq10a,0.0217,0.657,0.91
Rhbdd2,0.0193,0.731,0.932
Urb1,0.111,0.201,0.63
Gsap,-0.215,0.212,0.641
Pik3cd,-0.228,0.233,0.663
Ptger4,-0.267,0.117,0.516
Plcb4,-0.254,0.000608,0.0376
Dag1,0.18,0.000255,0.0231
Clstn1,0.0229,0.634,0.903
Stk32a,-0.634,0.00344,0.101
Mrap,-0.422,0.0141,0.208
Etfbkmt,-0.0584,0.496,0.84
Hip1,0.0546,0.483,0.834
Rhou,-0.281,0.0224,0.258
Ccdc40,-0.427,0.568,0.876
Zfp292,0.0225,0.855,0.966
Rsbn1l,0.0504,0.476,0.83
Tbc1d16,0.152,0.00252,0.085
Deup1,-0.118,0.79,0.949
Zc3h12d,-1.26,0.0254,0.274
Dtx4,0.000994,0.993,0.997
Ccdc32,-0.0548,0.515,0.85
Sinhcaf,-0.12,0.497,0.841
Phtf2,0.134,0.00786,0.154
Ankrd13c,0.0523,0.377,0.775
Cbx4,0.0085,0.95,0.988
Edrf1,0.0728,0.316,0.728
Timeless,0.0565,0.392,0.782
Ifi203,-0.265,0.00107,0.0512
Magi2,0.281,0.00306,0.0958
Ginm1,-0.0448,0.336,0.744
Bahd1,0.0924,0.114,0.51
Gnaz,-0.098,0.733,0.933
Slc7a5,-0.252,0.0933,0.473
Ptger3,-0.601,0.347,0.753
Cox15,0.141,0.0312,0.301
Lats1,0.0663,0.297,0.716
Rab11fip2,-0.0737,0.279,0.701
Ythdf2,-0.00509,0.928,0.983
Saa3,0.643,0.543,0.864
Elavl1,0.0843,0.135,0.545
Ipo8,0.000955,0.986,0.996
Stat2,-0.0126,0.888,0.973
Nup43,0.0605,0.692,0.919
Disp2,-0.965,0.365,0.766
Negr1,-0.0528,0.687,0.918
Ift88,-0.0436,0.683,0.916
Rbms2,0.0115,0.783,0.948
Orc3,0.0124,0.806,0.953
Tph1,-0.894,0.264,0.689
Ndufb10,0.0812,0.143,0.555
Baz2a,0.0215,0.699,0.922
Plcb2,-0.156,0.338,0.745
Ptges3-ps,0.384,0.284,0.705
Bub1b,-0.388,0.19,0.615
Tnni3k,0.0937,0.132,0.54
Bmf,-0.16,0.24,0.669
Flywch1,0.0405,0.458,0.822
Klhl42,0.0892,0.214,0.644
Plpp6,-0.232,0.00455,0.115
Gramd1b,0.0834,0.226,0.656
Mrps35,0.00652,0.927,0.983
Mettl11b,-0.779,0.0617,0.399
Cacna2d1,0.161,0.0529,0.375
Rep15,-0.376,0.259,0.686
Zmym5,0.0276,0.574,0.878
Gorab,0.256,0.0427,0.342
Pnrc1,0.0639,0.499,0.841
Gpr176,0.341,0.489,0.837
Abcc8,0.248,0.00353,0.103
Ndp,-1.23,0.108,0.501
9430038I01Rik,-0.238,0.0794,0.443
Tdrd6,0.457,0.506,0.843
Rgl3,-0.134,0.224,0.654
Maob,0.057,0.257,0.685
Hs2st1,-0.0233,0.703,0.923
Thbs1,0.0523,0.771,0.944
Tax1bp3,-0.091,0.158,0.576
Kcns1,0.191,0.774,0.945
Ikzf5,-0.033,0.747,0.936
Fmo2,-0.395,0.0806,0.446
Alkbh3,0.126,0.0217,0.255
2310057M21Rik,0.0752,0.319,0.731
Fmo1,-0.347,0.000144,0.0161
Ankrd6,-0.114,0.406,0.791
Arntl2,-0.121,0.438,0.811
Scamp2,-0.0545,0.276,0.698
Odad1,-0.0651,0.754,0.939
Nemp1,0.028,0.757,0.939
Pclaf,-1.03,0.00716,0.148
Cuzd1,0.201,0.455,0.82
Zfp704,0.0133,0.854,0.965
Emp3,0.0244,0.856,0.966
Kyat3,0.075,0.244,0.672
Ttc12,0.117,0.118,0.518
Gas8,-0.0768,0.432,0.807
Prrc2c,0.0964,0.0896,0.465
Gpr34,-0.825,0.000176,0.0185
Tm7sf3,0.0159,0.795,0.951
Trappc5,0.0571,0.397,0.785
Fgfr1op2,0.0306,0.541,0.863
Tbc1d10c,0.165,0.266,0.691
Lrp1,0.0701,0.34,0.748
Ints13,0.0177,0.766,0.943
Gbp7,-0.0584,0.618,0.898
Sema3d,0.0399,0.765,0.942
Nxph4,0.452,0.189,0.614
Daam2,-0.127,0.244,0.672
Klhdc4,0.0696,0.32,0.732
Gbp2b,-1.18,0.307,0.723
Dnm3,-0.00398,0.969,0.993
Plekha1,0.0467,0.168,0.59
Mrps28,0.0864,0.142,0.554
Bach2,-0.355,0.0196,0.242
Accs,-0.14,0.204,0.633
Cdk6,0.0558,0.652,0.908
Pacsin1,-1.48,0.00264,0.0882
Ndufa4l2,-0.0158,0.852,0.965
Cdin1,-0.00317,0.98,0.995
Btnl9,-0.0000376,1,1
Stac3,-0.343,0.402,0.789
Hey1,0.0301,0.746,0.936
Rigi,-0.271,0.00327,0.0981
Suco,-0.0152,0.811,0.955
Btbd16,-0.0535,0.944,0.986
Rbm48,-0.0631,0.61,0.897
Alx4,-0.487,0.224,0.654
Cchcr1,0.0121,0.927,0.983
Zfp770,-0.0525,0.375,0.773
Slc25a24,-0.141,0.0904,0.466
Gm15429,-0.127,0.854,0.965
Dcaf1,0.103,0.0418,0.339
Cul9,0.191,0.000473,0.0334
Or2v1,-3.39,0.000365,0.0285
Il7,-0.556,0.13,0.537
Nsmce4a,0.0789,0.115,0.512
Eeig2,-0.105,0.162,0.582
Arhgap9,-0.537,0.0299,0.294
Trim7,-0.0134,0.918,0.981
Ankib1,0.0497,0.447,0.817
Mars1,0.0397,0.399,0.786
Skic2,0.0344,0.549,0.867
Ufl1,-0.0779,0.195,0.621
Bcor,0.108,0.106,0.499
Sec1,-0.333,0.607,0.896
Trim41,0.117,0.0283,0.287
Etfrf1,-0.0342,0.609,0.896
Gpr63,0.000757,0.998,1
Pex2,0.114,0.0333,0.307
Cbln3,-0.071,0.881,0.971
Aqr,0.0332,0.422,0.801
Ppp1ca,0.08,0.0251,0.272
Klhl32,0.0846,0.458,0.822
Wdr47,-0.0952,0.164,0.584
Map3k10,0.044,0.447,0.817
Abhd13,-0.0775,0.289,0.71
Havcr1,-3.33,0.409,0.792
Akap9,0.0396,0.661,0.91
Fbxl4,-0.0605,0.47,0.827
Elapor1,-0.258,0.738,0.934
Slc25a28,0.033,0.634,0.903
Dtx3,0.0571,0.401,0.788
Rc3h1,0.0189,0.832,0.961
Hipk4,0.354,0.203,0.631
Plekha4,-0.0786,0.555,0.87
Mterf1a,0.154,0.523,0.854
Pitpnc1,0.0349,0.41,0.793
Ltb4r2,-0.407,0.411,0.794
Zbtb38,-0.0821,0.176,0.601
Ppp1r15a,0.0467,0.616,0.898
Slc26a10,0.352,0.000154,0.0168
Rprd1a,-0.112,0.0831,0.452
Spns2,-0.0972,0.167,0.589
Sgms1,0.0159,0.808,0.954
Usp45,-0.151,0.0213,0.253
Arglu1,-0.0069,0.912,0.98
Os9,-0.000814,0.988,0.996
Mybbp1a,0.0865,0.0555,0.384
Gtpbp10,-0.124,0.0796,0.443
Blvrb,-0.141,0.097,0.482
Rabggta,0.0993,0.158,0.576
Cfap69,0.0365,0.887,0.972
Dgkz,0.107,0.0567,0.387
Bptf,0.0534,0.359,0.762
Dxo,0.147,0.103,0.492
Xaf1,-0.178,0.114,0.51
Lrrc52,0.207,0.425,0.803
Ltbp4,-0.0701,0.241,0.669
Sox30,-0.0573,0.889,0.974
Lrfn2,-0.538,0.158,0.576
Igsf23,-0.241,0.251,0.678
Marchf9,0.0174,0.879,0.97
Ambra1,0.0841,0.177,0.601
Pvr,0.107,0.0397,0.332
Manea,-0.138,0.0522,0.373
Tsfm,0.0341,0.576,0.879
Tlr8,-0.402,0.0427,0.342
Zfp609,0.133,0.0788,0.443
Cblc,-0.453,0.424,0.802
Milr1,-0.159,0.564,0.874
Abhd11,-0.023,0.697,0.921
Necab1,0.276,0.127,0.533
Adam22,0.083,0.364,0.766
Pitpnm3,0.243,0.0225,0.258
Tex2,0.0776,0.068,0.417
Ckap5,0.0644,0.204,0.632
Otud6b,0.0379,0.421,0.8
C3ar1,-0.264,0.0967,0.481
Mettl27,-0.418,0.142,0.554
Wdr7,-0.000773,0.987,0.996
Gstm2,-0.162,0.00562,0.129
Plppr2,-0.221,0.183,0.609
Apoc1,-2.48,0.00974,0.173
Btaf1,0.0033,0.967,0.993
Slc26a7,0.0253,0.933,0.984
Rundc3b,-0.456,0.274,0.697
Abcb1a,-0.119,0.225,0.655
Ofd1,-0.0175,0.867,0.968
Cstpp1,0.0871,0.225,0.655
Cd79b,-2.01,0.00742,0.15
Ranbp17,-0.055,0.861,0.967
Pogk,0.0736,0.324,0.735
Mis12,-0.0316,0.699,0.922
Bace2,-0.222,0.197,0.624
Kazn,-0.0817,0.465,0.825
Ildr2,-0.195,0.361,0.763
Apobec1,-0.404,0.00345,0.101
Tmem51,0.0988,0.568,0.876
Pck2,-0.0982,0.204,0.633
Dhx33,-0.00124,0.984,0.995
Gemin8,0.135,0.421,0.8
Plekhg1,-0.129,0.266,0.691
Aicda,-3.89,0.0618,0.4
Dok4,0.0401,0.643,0.906
Erc2,-0.298,0.308,0.723
Ppip5k2,0.0102,0.926,0.983
Rimklb,1,0.221,0.651
Tasor,-0.0411,0.679,0.915
Oaz2,0.0915,0.11,0.505
Ppp1r14c,0.0982,0.21,0.639
Dnph1,-0.165,0.484,0.834
Efhd2,-0.152,0.0487,0.361
Rad54l2,0.017,0.819,0.958
Clcf1,-0.0413,0.864,0.967
Sh3bgr,-0.0768,0.361,0.763
Nup88,0.1,0.00576,0.13
Phc1,-0.00401,0.948,0.987
Mthfd1l,0.0179,0.911,0.98
Hmgn1,0.0699,0.164,0.585
Madd,-0.0538,0.618,0.898
Tbl3,0.122,0.0495,0.364
Col16a1,-0.124,0.205,0.633
Apobec2,0.0938,0.103,0.493
Dnajc16,0.0673,0.194,0.619
Limd2,-0.506,0.131,0.538
Ap1g2,-0.265,0.0236,0.265
Cyp2s1,-0.292,0.43,0.806
A930016O22Rik,0.0296,0.773,0.945
Agmat,-0.614,0.198,0.625
St8sia4,-0.242,0.176,0.6
Sh3pxd2b,0.102,0.428,0.804
Camta2,0.0848,0.0925,0.471
Creg1,-0.0748,0.138,0.549
Klc3,-0.0259,0.952,0.989
Il17rd,0.123,0.131,0.538
Virma,0.0436,0.379,0.776
Zfhx2,0.0989,0.376,0.773
Scamp5,-0.221,0.0394,0.331
Rcsd1,0.081,0.0842,0.454
Kcna2,0.0735,0.636,0.904
Hnrnpul1,0.0546,0.161,0.581
Cep126,0.123,0.41,0.793
Eif4h,0.0225,0.387,0.78
Erg,0.0124,0.837,0.962
Ppp1r13l,0.119,0.141,0.553
Ints8,0.048,0.452,0.819
Slc25a34,-0.0321,0.784,0.948
Rnf167,1.15,2.55E-08,0.0000223
Cd53,-0.55,0.0188,0.238
Siah1b,-0.134,0.438,0.811
Lat2,-0.63,0.0876,0.46
Myh6,0.287,0.000000611,0.000307
Cmtm5,0.554,0.301,0.718
Appl1,0.021,0.687,0.918
Spen,0.198,0.00429,0.112
Snrnp25,-0.334,0.0059,0.132
Oard1,0.0311,0.686,0.917
Cept1,-0.133,0.114,0.511
Cop1,0.0302,0.517,0.851
Ttc3,0.113,0.019,0.238
C1qtnf4,0.22,0.0673,0.414
Iqcc,-0.0377,0.684,0.916
Iqsec3,-0.172,0.325,0.736
Chil3,-0.729,0.242,0.671
Eml2,0.0803,0.16,0.579
Agbl2,-0.0192,0.911,0.98
Tex264,0.0326,0.557,0.87
Dennd6a,-0.00514,0.944,0.986
Hlcs,-0.0899,0.357,0.761
1700123O20Rik,0.0384,0.684,0.916
Snrpd2,-0.00123,0.987,0.996
Zmynd15,-0.315,0.0878,0.46
Gpr161,0.0748,0.537,0.861
4930579G18Rik,0.211,0.796,0.952
Six5,0.26,0.0106,0.178
Szrd1,0.0577,0.167,0.589
Tiprl,-0.0601,0.26,0.687
Sft2d2,-0.0664,0.249,0.676
Psme4,0.0668,0.285,0.707
Plekhh2,-0.0617,0.627,0.9
Reps2,-0.11,0.522,0.853
Dlk1,-0.018,0.969,0.993
Erf,0.107,0.174,0.598
Bsdc1,-0.0113,0.845,0.964
Crocc,0.0626,0.544,0.864
Ino80d,0.0339,0.697,0.921
Begain,-0.422,0.176,0.6
Osbpl10,-0.11,0.517,0.851
Wdr25,0.128,0.241,0.67
Tmem205,-0.178,0.0196,0.242
Gfer,-0.108,0.197,0.624
Kcnd3,0.232,0.000056,0.00845
Ccr6,-2.47,0.317,0.729
Gm21988,0.21,0.73,0.932
Atp1a3,-0.773,0.114,0.511
Fbxw4,0.111,0.0979,0.483
Slc19a2,-0.267,0.00225,0.0803
S100pbp,-0.03,0.701,0.923
Rfx3,0.0339,0.81,0.955
Ulk4,-0.242,0.372,0.771
Slc16a11,0.0345,0.915,0.981
Arhgef1,0.0246,0.726,0.929
Tet2,-0.0187,0.859,0.966
Rcc2,-0.146,0.131,0.537
Mgl2,0.00942,0.937,0.985
Rps19,-0.123,0.0525,0.374
Cables1,-0.0656,0.609,0.897
Asgr2,-0.276,0.657,0.91
Arhgef10l,0.152,0.00756,0.151
Igsf21,-0.983,0.115,0.512
Gm11992,0.288,0.313,0.725
Sun3,0.177,0.739,0.934
Mill2,-0.0532,0.473,0.828
Sh3kbp1,0.0952,0.222,0.652
Abhd4,0.021,0.681,0.916
Npnt,0.244,0.604,0.895
Trim62,-0.239,0.159,0.578
Cmtm8,0.0357,0.754,0.939
Map7d2,0.0703,0.75,0.937
Iffo2,-0.0289,0.837,0.962
Ghitm,0.0571,0.154,0.57
Dpcd,0.172,0.04,0.333
Irgq,0.124,0.0841,0.454
Fam117b,-0.0414,0.87,0.968
Ramp3,0.00557,0.97,0.993
Wdr43,0.0702,0.178,0.602
Wwp1,-0.0435,0.486,0.835
Pif1,-0.32,0.636,0.904
Nacad,0.438,0.126,0.529
Fzd7,0.0601,0.523,0.854
Rwdd2b,0.0579,0.633,0.903
Ostc,0.0954,0.146,0.56
Tspyl2,0.0297,0.607,0.896
Elmo1,-0.163,0.0902,0.466
Iqsec2,0.0642,0.291,0.713
Ccdc8,-0.24,0.00816,0.157
Pde9a,-0.165,0.288,0.71
Nbl1,-0.026,0.823,0.958
Msantd4,0.0195,0.707,0.924
H2az2,0.19,0.00645,0.138
Zfp598,0.0471,0.426,0.804
N4bp2l1,-0.526,0.0261,0.278
Smc1a,0.0073,0.852,0.965
Cyyr1,-0.0844,0.325,0.736
Ripk2,-0.0314,0.789,0.949
Pnma8a,-0.822,0.466,0.825
Tmco4,-0.176,0.0719,0.427
Dnah7b,-0.393,0.036,0.319
Brca2,-0.133,0.42,0.799
Osgin2,-0.166,0.0717,0.427
Otud3,-0.0288,0.815,0.956
Zmiz2,0.00568,0.931,0.984
Lonp1,0.0605,0.142,0.554
Hectd2,0.112,0.513,0.848
Prkd2,-0.0431,0.691,0.919
Chrnb1,-0.139,0.244,0.672
Pla2g5,-0.157,0.0524,0.373
Rpusd1,-0.0903,0.38,0.776
Pla2g2d,-1.16,0.00436,0.113
Trir,0.0425,0.317,0.729
Map6d1,-0.498,0.19,0.616
Yeats2,-0.0436,0.563,0.874
Clvs1,-0.683,0.0222,0.257
Arhgap11a,-0.402,0.0333,0.307
Elovl6,-1.69,0.0359,0.319
